cast,country,Year,Quarter,Month,Day,description,director,duration,listed_in,rating,Sum of release_year,show_id,title,type
"","",,,,,"A soothing jazz-accompanied background video perfect for setting the mood for 'Cocktail Hour' or however you wind down after a stress-filled day. Enjoy mood scenes from New York, Chicago, Los Angeles, the Amalfi Coast and other scenic destinations. Jazz piano background accompaniment sets the mood. Sharecare Windows videos are always included in your Prime membership.",Mark Knight,66 min,"Music Videos and Concerts, Special Interest",ALL,2017,s382,The World's Greatest Cities Set to Jazz,Movie
"","",,,,,"A soothing video postcard format with no narration or music-simply an upbeat tempo blend of Zen and energy for an energetic yet relaxing mood. Videos include Crown Fountain Millennium Park Chicago, Times Square at night New York City, Gondola ride on Venice Canals, Penguin Beach Punta Tomba Argentina, Mira Flores Locks at Panama Canal and Haichiko Crossing in Tokyo.",Mark Knight,30 min,Special Interest,ALL,2012,s3222,Around The World in 30 Minutes,Movie
"","",,,,,"A soothing video postcard with no narration or music, just natural sounds. Underwater reefs-Philippines, penguins in Argentina, Ice City of Harbin China, Panama Canal, Millennium Park Chicago, Aruba, Oregon Cattle Ranch, Glassfish, Panama Rain Forest , Hacienda Temezon Mexico, Hachiko Crossing Tokyo, Venice Gondolas, Prague, Zocolo Square Mexico City, Tanah Lot Bali, and the Bellagio Fountains",Mark Knight,60 min,Special Interest,ALL,2012,s3220,Around the World in One Hour,Movie
"","",,,,,"A soothing video postcard with no narration or music-simply the natural sounds and HD video,. Enjoy vistas from Maui's Bamboo Forest, The Chicago River, Glass fish from the Philippines, Horseshoe Bend on the Colorado River, The Hoh River, Sol Duc Falls and Lake Crescent in Washington state's Olympic National Park, and Hawaii's Wailua Falls.",Mark Knight,30 min,Special Interest,ALL,2012,s3475,30 Minutes of Serenity,Movie
"","",,,,,"A soothing video postcard with no narration or music-simply the natural sounds and video in HD. Asilomar Beach Monterey, Vidigal Beach Rio de Janeiro Brazil, Del Norte Coast California, Nakalele Blowhole Maui, Tide Pools Sea of Cortez Mexico, Surf Seagulls Northern California, East Cape San Jose del Cabo Sur Mexico, Old Tree On Beach Hawaii, Rocky Beach Cabo San Lucas Mexico.",Mark Knight,60 min,Special Interest,ALL,2012,s1186,Relaxing Rocky Beaches,Movie
"","",,,,,"A soothing video postcard with no narration or music-simply the natural sounds and video in HD. Gondolas on Venice Canals, Chicago Navy Pier Fireworks, Millennium Park Cloudgate Chicago, Cruising the Three Rivers Gorge on the Yangtze River China, Underwater Reefs on Cebu Island Philippines, Bellagio Fountains in Las Vegas, Sea of Cortez beach sunset and the Snow and Ice Festival in Harbin China.",Mark Knight,30 min,"Documentary, Special Interest",ALL,2012,s3441,A 30-Minute Journey Around the World,Movie
"","",,,,,"A soothing video postcard with no narration or music-simply the natural sounds and video in HD. Videos include, Beach Cabanas Cabo San Lucas Mexico, Pink and yellow Lotus flowers in Hawaii, Sea of Cortez beach sunset, purple wildflowers, Texas Bluebonnet wildflowers, Rainbow Falls in Hawaii, Sparks Lake in Oregon, Three Rivers Gorge on the Yangtze River and Texas floating clouds",Mark Knight,30 min,Special Interest,ALL,2012,s3472,30 Minutes of Water in Nature,Movie
"","",,,,,"A soothing video postcard with no narration or music-simply the natural sounds and video in HD. Vistas include Lotus Flower ponds in Maui, Floating clouds in Texas, Aruba Dutch Caribbean, Trunk Bay St. John USVI, Deschutes National Forest Oregon, Waimuku Falls Maui, Rain Falling on leaves in New Orleans, Kanoehe Bay Hawaii, Texas Wildflowers and Leinster Bay St. John.",Mark Knight,30 min,Special Interest,ALL,2012,s3477,30 Minutes of Nature's Beauty,Movie
"","",,,,,"A soothing video postcard with no narration or music-simply the natural sounds and video in HD. Vistas include, fly-fishing, cityscapes, hot-air balloons, waterfalls, rivers and beaches, trains and railways, Chinese Ice Festival, Palm Springs Windmills, Fireworks, Panama Canal, Tumalo Falls Oregon, Caceres Reef, Skywalk and The Ledge Chicago, Yangtzee River and Canale San Marcos Venice",Mark Knight,60 min,Special Interest,ALL,2012,s3402,A One-Hour World Tour,Movie
"","",,,,,"A soothing video postcard with no narration or music-simply the natural sounds and video. Lotus Flowers, Aruba beach, Floating Clouds, Sparks Lake in Oregon, Wildflowers, Kaneohe Bay in Hawaii, Rain Falling on Leaves, Waimiku Falls in Maui, Trunk Bay and Leinster Bay in St. John, Beach Cabanas and Sea of Cortez sunset, Rainbow Falls in Hawaii, Black Sea Nettles, Monterey Bay Aquarium and more",Mark Knight,60 min,Special Interest,ALL,2012,s1424,"One Hour of Gorgeous, Calming Nature",Movie
"","",,,,,"A soothing video postcard with no narration-simply the natural sounds and video in HD. DeSoto Falls, Iao Valley Maui, Grand Bahama Island, Punta Mita Golf Course Mexico, Sipalay Boats, Caceres Reef and Glassfish, Philippines, Aruba beach, Del Norte Coast CA, Yellowstone Nat'l Park, Tumalo Falls OR, Colorado River Texas, Oregon Cattle Ranch, Rocky Coastline Chile, Schroon River and more.",Mark Knight,60 min,"Arthouse, Special Interest",ALL,2012,s1185,Relaxing Water,Movie
"","",,,,,"A soothing video postcard with no narration-simply the natural sounds and video in HD. Scenes include, Eternity Beach Oahu, Asilomar Beach California, Trunk Bay St. John, San Jose del Cabo Mexico, Del Norte Coast Beach California, Cinnamon Beach St. John Vidigal Beach Rio de Janeiro, Sea of Cortez Mexico, Tunnels Beach Kauai and Beach Cabanas Cabo San Lucas Mexico.",Mark Knight,60 min,"Documentary, Special Interest",ALL,2012,s381,The World's Most Beautiful Beaches,Movie
"","",,,,,"A South American adventure to find the place that inspired Sir Arthur Conan Doyle's ""Lost World"" – the original Jurassic Park. A team of modern adventurers and scientists go to Roraima, Venezuela, and encounter exotic animals, natives, and extreme habitat on the route across the Gran Sabana. The team explores a new cave system that may well contain new forms of life.",Peter von Puttkamer,87 min,"Documentary, Special Interest",7+,2006,s5315,The Real Lost World,Movie
"","",,,,,"A spectacular documentary series looking at the most beautiful cities in the world. These majestic cities share much in common: artistic history, stunning architecture and a rich historic, cultural and literary heritage. Each episode is a journey to the heart of one legendary city. We immerse ourselves in their golden age, profiling these cities from inside out.","",1 Season,TV Shows,7+,2014,s1881,Legendary Cities,TV Show
"","",,,,,"A staggering 7,500 babies are born behind bars each year in the US. In most cases, babies are separated from their mother immediately after birth. Currently there are 8 experimental prison nursery programs nationwide and we have exclusive access to 1 of them.","",1 Season,"Documentary, Drama, Unscripted",TV-14,2018,s3001,Born Behind Bars,TV Show
"","",,,,,"A staggering 7,500 babies are born behind bars each year in the US. In most cases, babies are separated from their mother immediately after birth. Currently there are 8 experimental prison nursery programs nationwide and we have exclusive access to 1 of them.","",1 Season,"Documentary, Drama, Unscripted",TV-14,2018,s3185,Babies Behind Bars,TV Show
"","",,,,,A stand up comedian suddenly becomes a father when he takes custody of his sister's three children.,"",5 Seasons,"Comedy, Drama, Kids",TV-PG,2006,s746,The Bernie Mac Show,TV Show
"","",,,,,"A story about three sisters struggling to survive in a desolate world surrounded by decaying buildings and red fog. The story revolves around Rin, a girl with an updo. There's also Ritsu, the big sister who has cat ears and is always calm, and Rina, the innocent, cheerful one dressed in a maid's costume. Just what is it that these sisters are after in this mysterious world?","",1 Season,TV Shows,TV-NR,2019,s1959,Kemurikusa.,TV Show
"","",,,,,"A story of reunion between a father and a son who had lost touch for 18 years. A Chinese Korean boy emigrated to Japan when he was 10 years old, and when he turned 20, he looked for his father, a painter. However, his father was working as a day laborer in Korea and struggling with debts. Out of vanity, he tries to express his love for his child with money...",Ryuichi Tsunoda,74 min,Documentary,13+,2020,s7204,Indelible,Movie
"","",,,,,"A story of Two young musicians fresh out of College in 2004 Banglaore trying to make it. Unfortunately they are not that good. Armed with blind confidence, two guitars and an optimistic band Manager, they set out to do the impossible; convince the world they are as good as they think they are.","",1 Season,TV Shows,NR,2018,s2665,Die Trying,TV Show
"","",,,,,"A talented interior designer is challenged to do a huge home makeover on the tiniest budget, using clever styling tricks, bargain hunting and upcycling to transform drab houses into beautiful family homes.","",1 Season,"Special Interest, Unscripted",13+,2014,s2981,Brand New House On a Budget,TV Show
"","",,,,,"A team of 4 adventurers started a 3 month, 2000 mile canoe journey from the source of the Yukon River at Lake Bennett, Canada to its mouth at Emmonak at the Bering Sea, Alaska. Along the entirety of this wilderness, expedition is the home of the Athapaskan first nation people who more than 10,000 years ago, crossing the Bering land bridge from Asia settled within Canada, Alaska and the Yukon River",Caroline Côté,39 min,"Action, Sports",ALL,2020,s1243,Pull of the North,Movie
"","",,,,,"A U.S./Japanese co-production. Three rescue pilots (Yul Brynner, George Chakiris, Richard Widmark) must overcome their fears, differences and hatreds as they undertake the dangerous rescue of raft-bound Japanese on storm-tossed seas.",Michael Anderson,103 min,Action,7+,1964,s6310,Flight From Ashiya,Movie
"","",,,,,"A unique coming-of-age story with Chinese characteristics, The Road to Fame chronicles the staging of the American musical Fame – China's first official collaboration with Broadway – by the senior class of the Central Academy of Drama. Raised in one-child families, these ambitious youngsters aspire to become tomorrow's megastars as they are about to graduate from their prestigious institution.",Hao Wu,80 min,Documentary,G,2014,s466,The Road to Fame,Movie
"","",,,,,"A young boy starts at Rugby boarding school. He is tormented by Flashman, the school bully.",Robert Stevenson,81 min,Drama,ALL,1940,s311,Tom Brown's School Days,Movie
"","",,,,,"A young man grows up in Sarajevo in the 1960s, under the shadow of his good, but ailing father, and gets attracted by the world of small-time criminals. They hire him to hide a young prostitute and he falls in love with her.",Emir Kusturica,105 min,"Comedy, Drama",18+,1981,s5458,Do You Remember Dolly Bell?,Movie
